regiao,endereco,complemento,observacao,lat,lon
Centro,Avenida Sul,s/n,Cooperativa,-8.075631,-34.891624
Norte,Av. Chagas Ferreira,601,Cooperativa,-8.005045,-34.912247
Oeste,Rua Eliezer Olímpio de Moura,100,Cooperativa,-8.0444575,-34.9129944
Centro,Travessa do Gusmão,178,Cooperativa,-8.071821,-34.886728
Noroeste,Av. Padre Mosca de Carvalho,s/n,Cooperativa,-8.0625,-34.93253
Norte,Avenida Professor José dos Anjos,s/n,Cooperativa,-8.020267,-34.874597
Centro,Rua Pacatuba,s/n,Cooperativa,-8.076567,-34.897539
Centro,Rua Oscar de Melo,s/n,Cooperativa,-8.077965,-34.899157
Sul,R. Antônio Cardoso da Fonte,483,Cooperativa,-8.097676,-34.919589
Sul,Rua Rio Uma,150,Cooperativa,-8.114698,-34.931643